mission,trial_id,seed,max_steps_fraction,actual_max_steps,total_reward
hello_world,1,42,0.5,500,0.0
hello_world,2,42,0.75,750,0.0
hello_world,3,42,1.0,1000,0.0
hello_world,4,123,0.5,500,0.0
hello_world,5,123,0.75,750,0.0
hello_world,6,123,1.0,1000,2.0
hello_world,7,456,0.5,500,0.0
hello_world,8,456,0.75,750,0.0
hello_world,9,456,1.0,1000,0.0
hello_world,10,789,0.5,500,0.0
hello_world,11,789,0.75,750,0.0
hello_world,12,789,1.0,1000,0.0
hello_world,13,1000,0.5,500,0.0
hello_world,14,1000,0.75,750,0.0
hello_world,15,1000,1.0,1000,0.0
hello_world,16,2000,0.5,500,0.0
hello_world,17,2000,0.75,750,0.0
hello_world,18,2000,1.0,1000,0.0
machina_1,1,42,0.5,500,0.0
machina_1,2,42,0.75,750,0.0
machina_1,3,42,1.0,1000,0.0
machina_1,4,123,0.5,500,0.0
machina_1,5,123,0.75,750,0.0
machina_1,6,123,1.0,1000,0.0
machina_1,7,456,0.5,500,0.0
machina_1,8,456,0.75,750,0.0
machina_1,9,456,1.0,1000,0.0
machina_1,10,789,0.5,500,0.0
machina_1,11,789,0.75,750,0.0
machina_1,12,789,1.0,1000,1.0
machina_1,13,1000,0.5,500,0.0
machina_1,14,1000,0.75,750,0.0
machina_1,15,1000,1.0,1000,1.0
machina_1,16,2000,0.5,500,0.0
machina_1,17,2000,0.75,750,0.0
machina_1,18,2000,1.0,1000,0.0
